Siruta,Judet,Localitate,Total_medici_sanatate
57225,CJ,Ciurila,0
57314,CJ,Catcau,0
57350,CJ,Cojocna,0
57449,CJ,Cornesti,0
57546,CJ,Dabaca,0
57582,CJ,Feleacu,0
57644,CJ,Fizesu Gherlii,0
57706,CJ,Floresti,0
57742,CJ,Frata,0
57831,CJ,Geaca,0
57902,CJ,Gilau,0
57948,CJ,Garbau,0
58008,CJ,Iara,0
58142,CJ,Iclod,0
58204,CJ,Izvoru Crisului,0
58259,CJ,Jucu,0
58311,CJ,Luna,0
58357,CJ,Maguri-Racatau,0
58393,CJ,Manastireni,0
58464,CJ,Margau,0
58534,CJ,Marisel,0
58552,CJ,Mintiu Gherlii,0
58623,CJ,Mociu,0
58721,CJ,Moldovenesti,0
58794,CJ,Palatca,0
58856,CJ,Panticeu,0
58918,CJ,Petrestii De Jos,0
58990,CJ,Ploscos,0
59041,CJ,Poieni,0
59130,CJ,Recea-Cristur,0
59238,CJ,Risca,0
59283,CJ,Sacuieu,0
59327,CJ,Savadisla,0
59416,CJ,Sic,0
59434,CJ,Sancraiu,0
59498,CJ,Sanmartin,0
59586,CJ,Sanpaul,0
59657,CJ,Suatu,0
59693,CJ,Tritenii De Jos,0
59764,CJ,Tureni,0
59826,CJ,Taga,0
59880,CJ,Unguras,0
59942,CJ,Vad,0
60026,CJ,Valea Ierii,0
60062,CJ,Viisoara,0
60099,CJ,Vultureni,0
60169,CJ,Negreni,0
60419,CT,Municipiul Constanta,4802
60455,CT,Oras Eforie,189
60482,CT,Municipiul Mangalia,461
60507,CT,Oras Navodari,101
60534,CT,Oras Techirghiol,233
