Siruta,Localitate,Judet,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie,Total_medici_desc
71787,Cetate,DJ,3,1,5,15,3,7
179347,Glina,IF,3,1,4,1,3,7
73629,Pielesti,DJ,4,0,16,1,3,7
138039,Oras Livada,SM,4,0,9,5,3,7
31262,Suplacu De Barcau,BH,6,0,6,1,1,7
24766,Racaciuni,BC,3,1,4,51,3,7
134559,Poienarii Burchii,PH,3,1,4,4,3,7
29948,Lunca,BH,4,0,4,0,3,7
101458,Oras Budesti,CL,4,0,14,1,3,7
169547,Dragoesti,VL,3,3,11,42,1,7
20910,Oras Slanic-Moldova,BC,4,1,6,11,2,7
102213,Cornetu,IF,4,0,4,1,3,7
83749,Oras Vlahita,HR,3,1,19,14,3,7
168559,Barbatesti,VL,5,0,10,0,2,7
19338,Titesti,AG,3,0,5,0,3,6
11398,Macea,AR,3,0,3,0,3,6
61513,Corbu,CT,3,0,6,0,3,6
177842,Suraia,VN,3,0,4,0,3,6
24187,Pancesti,BC,3,0,4,0,3,6
11058,Halmagiu,AR,3,0,4,0,3,6
30336,Pietroasa,BH,3,0,4,0,3,6
