Siruta,Judet,Localitate,PersonalMediu_privat,PersonalMediu_public
42498,BV,Augustin,0,0
42682,BR,Municipiul Braila,713,1578
42708,BR,Chiscani,8,0
42753,BR,Oras Faurei,7,32
42771,BR,Surdila-Greci,1,0
42824,BR,Baraganul,3,13
42842,BR,Bertestii De Jos,2,1
42913,BR,Bordei Verde,2,1
42968,BR,Ciocile,3,1
43019,BR,Ciresu,2,1
43073,BR,Dudesti,5,0
43117,BR,Frecatei,1,0
43180,BR,Galbenu,3,1
43242,BR,Gemenele,2,0
43279,BR,Gradistea,2,2
43313,BR,Gropeni,4,0
43331,BR,Oras Ianca,3,8
43411,BR,Oras Insuratei,8,0
43466,BR,Jirlau,3,1
43493,BR,Marasu,2,2
43563,BR,Maxineni,2,2
43625,BR,Mircea Voda,3,0
43652,BR,Movila Miresii,5,3
43698,BR,Racovita,3,1
43732,BR,Ramnicelu,3,1
43787,BR,Romanu,2,0
43812,BR,Rosiori,1,1
43867,BR,Salcia Tudor,0,0
43929,BR,Scortaru Nou,2,0
43992,BR,Silistea,2,0
44060,BR,Stancuta,3,1
44113,BR,Surdila-Gaiseanca,3,0
44140,BR,Sutesti,3,2
44177,BR,Tichilesti,6,7
44202,BR,Traian,6,1
44257,BR,Tudor Vladimirescu,4,0
44300,BR,Tufesti,7,1
44328,BR,Ulmu,3,1
44355,BR,Unirea,3,0
44391,BR,Vadeni,3,22
44435,BR,Victoria,5,0
44462,BR,Visani,2,1
44505,BR,Viziru,5,0
44532,BR,Zavoaia,3,1
44560,BR,Cazasu,2,0
44818,BZ,Municipiul Buzau,556,978
44845,BZ,Municipiul Ramnicu Sarat,130,304
44863,BZ,Amaru,3,1
44934,BZ,Balta Alba,3,0
44989,BZ,Balaceanu,2,0
45003,BZ,Beceni,6,4
45101,BZ,Berca,23,3
45245,BZ,Bisoca,2,1
45334,BZ,Blajani,1,0
45361,BZ,Boldu,5,0
45389,BZ,Bozioru,0,1
45496,BZ,Bradeanu,2,0
45539,BZ,Braesti,1,0
45619,BZ,Breaza,2,1
45673,BZ,Buda,2,2
45753,BZ,Calvini,3,3
45815,BZ,C.a. Rosetti,1,0
45888,BZ,Canesti,3,1
45959,BZ,Catina,1,0
46019,BZ,Cernatesti,5,1
46108,BZ,Chiliile,0,1
46180,BZ,Chiojdu,6,0
46251,BZ,Cilibia,2,2
46313,BZ,Cislau,5,0
46377,BZ,Cochirleanca,7,1
46439,BZ,Colti,1,1
46484,BZ,Costesti,5,2
46554,BZ,Cozieni,2,1
46769,BZ,Galbinasi,5,1
46803,BZ,Gheraseni,5,0
46830,BZ,Ghergheasa,3,1
46867,BZ,Glodeanu Sarat,4,0
46910,BZ,Glodeanu-Silistea,5,0
47006,BZ,Grebanu,4,0
47079,BZ,Gura Teghii,2,0
47159,BZ,Largu,0,0
47186,BZ,Lopatari,5,0
47300,BZ,Luciu,3,1
47337,BZ,Magura,4,39
47373,BZ,Maracineni,8,0
47417,BZ,Margaritesti,1,1
47453,BZ,Merei,19,13
47578,BZ,Mihailesti,4,0
47630,BZ,Manzalesti,1,0
47774,BZ,Movila Banului,1,0
47818,BZ,Murgesti,1,1
47854,BZ,Naeni,1,1
47916,BZ,Oras Nehoiu,15,72
48021,BZ,Odaile,1,0
48138,BZ,Padina,5,0
48165,BZ,Pardosi,0,1
48227,BZ,Panatau,1,0
48325,BZ,Oras Patarlagele,31,0
48487,BZ,Pietroasele,4,1
48557,BZ,Parscov,10,1
48682,BZ,Podgoria,1,0
48744,BZ,Oras Pogoanele,10,4
48771,BZ,Posta Calnau,8,1
48842,BZ,Puiesti,7,0
48922,BZ,Racoviteni,1,1
48968,BZ,Ramnicelu,3,3
49019,BZ,Robeasca,1,1
49046,BZ,Rusetu,5,0
49073,BZ,Sageata,5,1
49153,BZ,Sahateni,3,0
49206,BZ,Sapoca,3,120
49233,BZ,Sarulesti,1,1
49313,BZ,Scortoasa,3,1
49439,BZ,Scutelnici,2,1
49484,BZ,Siriu,3,0
49545,BZ,Smeeni,6,27
49625,BZ,Stalpu,3,6
49643,BZ,Tisau,7,2
49769,BZ,Topliceni,3,1
49849,BZ,Tintesti,4,0
49894,BZ,Ulmeni,3,1
49956,BZ,Vadu Pasii,10,1
50022,BZ,Valea Ramnicului,6,1
50068,BZ,Valea Salciei,1,1
50102,BZ,Vernesti,12,1
50228,BZ,Vintila Voda,15,5
50326,BZ,Viperesti,2,2
50399,BZ,Valcelele,2,1
50415,BZ,Zarnesti,6,1
50479,BZ,Ziduri,4,0
50549,BZ,Unguriu,2,84
50564,BZ,Florica,1,1
50790,CS,Municipiul Resita,219,763
50889,CS,Oras Anina,8,12
50923,CS,Oras Baile Herculane,13,12
50969,CS,Oras Bocsa,29,12
50987,CS,Ocna De Fier,1,0
51010,CS,Municipiul Caransebes,76,227
51056,CS,Oras Moldova Noua,23,63
51118,CS,Oras Oravita,16,121
51207,CS,Oras Otelu Rosu,45,58
51243,CS,Armenis,1,0
51305,CS,Bania,0,0
51332,CS,Bautar,2,0
51387,CS,Berliste,1,0
51449,CS,Berzasca,1,0
51500,CS,Berzovia,2,0
51546,CS,Bolvasnita,1,0
51573,CS,Bozovici,10,0
51626,CS,Brebu,1,0
51662,CS,Brebu Nou,0,0
51699,CS,Buchin,1,0
51751,CS,Bucosnita,1,0
51804,CS,Carasova,1,0
51840,CS,Carbunari,0,0
51877,CS,Constantin Daicoviciu,2,0
51948,CS,Ciclova Romana,2,0
51984,CS,Ciuchici,0,0
52035,CS,Ciudanovita,0,0
52062,CS,Copacele,1,0
52115,CS,Cornea,1,0
52160,CS,Cornereva,1,0
52570,CS,Dalboset,2,0
52650,CS,Doclin,1,0
52696,CS,Dognecea,1,0
52721,CS,Domasnea,0,0
52758,CS,Ezeris,1,0
52785,CS,Farliug,1,0
52856,CS,Forotic,1,0
52909,CS,Garnic,0,0
52936,CS,Glimboca,2,0
52954,CS,Goruia,0,0
52990,CS,Gradinari,3,0
53023,CS,Iablanita,2,0
53069,CS,Lapusnicel,1,0
53103,CS,Lapusnicu Mare,1,0
53130,CS,Luncavita,2,0
53167,CS,Lupac,1,0
53210,CS,Marga,0,0
53247,CS,Maureni,1,0
53274,CS,Mehadia,7,0
53327,CS,Mehadica,0,0
53345,CS,Naidas,1,0
53372,CS,Obreja,1,0
