Siruta,Localitate,Judet,Numar absolventi,Populatie
114453,Santana De Mures,MS,19,266
114514,Municipiul Sighisoara,MS,821,4405
114603,Albesti,MS,18,367
114710,Oras Ludus,MS,375,2447
114809,Municipiul Reghin,MS,908,6020
114854,Oras Sovata,MS,239,1449
114925,Municipiul Tarnaveni,MS,527,3121
114970,Acatari,MS,38,335
115076,Adamus,MS,28,305
115147,Alunis,MS,26,242
115183,Apold,MS,27,331
115236,Atintis,MS,12,114
115307,Bahnea,MS,45,415
115389,Band,MS,70,827
115520,Batos,MS,29,327
115575,Bagaciu,MS,41,265
115600,Bala,MS,4,35
115637,Balauseri,MS,33,491
115708,Beica De Jos,MS,12,198
115771,Bichis,MS,8,47
115824,Bogata,MS,11,103
115851,Breaza,MS,5,118
115897,Brancovenesti,MS,28,233
115959,Ceuasu De Campie,MS,61,549
116046,Chetani,MS,27,180
116126,Chiheru De Jos,MS,13,136
116171,Coroisanmartin,MS,6,135
116224,Cozma,MS,6,38
116288,Craciunesti,MS,25,421
116340,Craiesti,MS,10,71
116395,Cucerdea,MS,4,56
116439,Cuci,MS,15,147
116493,Danes,MS,29,518
116545,Deda,MS,67,709
116590,Eremitu,MS,43,390
116652,Ernei,MS,92,639
116723,Faragau,MS,14,228
116796,Fantanele,MS,36,433
116867,Galesti,MS,17,191
116938,Ganesti,MS,26,220
116983,Gheorghe Doja,MS,42,326
117042,Ghindari,MS,30,328
117113,Glodeni,MS,26,400
117177,Gornesti,MS,46,502
117275,Grebenisu De Campie,MS,28,176
117319,Gurghiu,MS,135,733
117426,Hodac,MS,57,504
117505,Hodosa,MS,8,106
117550,Ibanesti,MS,45,349
117667,Iclanzel,MS,11,190
117783,Ideciu De Jos,MS,10,119
117827,Oras Iernut,MS,183,1089
117925,Livezeni,MS,18,227
117998,Lunca,MS,25,190
118058,Lunca Bradului,MS,13,161
118094,Magherani,MS,6,123
118209,Mica,MS,26,522
118281,Oras Miercurea Nirajului,MS,163,984
118370,Mihesu De Campie,MS,26,194
118469,Nades,MS,13,274
118511,Neaua,MS,10,94
118575,Ogra,MS,14,342
118637,Papiu Ilarian,MS,12,85
118691,Panet,MS,35,424
118753,Pasareni,MS,14,153
118799,Petelea,MS,17,322
118824,Pogaceaua,MS,28,269
118931,Rastolita,MS,17,152
118995,Raciu,MS,44,363
119153,Rusii-Munti,MS,16,171
119206,Saschiz,MS,9,184
119242,Oras Sarmasu,MS,169,1151
119331,Oras Sangeorgiu De Padure,MS,87,706
119386,Sanger,MS,22,250
119466,Sanpaul,MS,38,467
119527,Sanpetru De Campie,MS,23,232
119590,Solovastru,MS,15,211
119625,Stanceni,MS,12,72
119661,Suplac,MS,23,205
119723,Suseni,MS,19,159
119750,Saulia,MS,30,245
119803,Sincai,MS,18,166
119858,Taureni,MS,8,96
119894,Oras Ungheni,MS,64,588
119974,Valea Larga,MS,25,219
120076,Vargata,MS,19,172
120138,Vatava,MS,9,138
120174,Vetca,MS,6,82
120218,Viisoara,MS,23,239
