Siruta,Localitate,NascutiVii_1000loc
15652,Cocu,13.367830961621388
84175,Corund,13.355848940743016
108696,Ruscova,13.340448239060832
27846,Budureasa,13.323464100666174
42472,Holbav,13.305322128851541
142122,Mirsid,13.294557540506855
11735,Pilu,13.284470911589557
144964,Merghindeal,13.282732447817837
137764,Halmeu,13.28095772540217
41541,Ormenis,13.257575757575758
86519,Santimbru,13.254113345521024
68468,Potlogi,13.233985765124554
99600,Trifesti,13.216957605985037
4482,Garbova,13.213780084945729
37770,Hudesti,13.212352753900031
151077,Vicovu De Jos,13.186139221097823
145998,Vurpar,13.17157712305026
104886,Sarulesti,13.171225937183385
42449,Sinca Noua,13.157894736842104
62253,Mihai Viteazu,13.154362416107382
71260,Breasta,13.151602104256337
119466,Sanpaul,13.142986630410151
29902,Lugasu De Jos,13.139885026006022
31565,Tarcea,13.100436681222707
84380,Darjiu,13.096351730589335
148328,Dragoiesti,13.092029264536004
86188,Tusnad,13.086642599277978
26346,Gioseni,13.085891030216512
121876,Bozieni,13.078470824949699
115708,Beica De Jos,13.051305130513052
132137,Aricestii Zeletin,13.05057096247961
122551,Farcasa,13.043478260869565
63580,Oras Intorsura Buzaului,13.023057216054655
74867,Carna,13.015184381778742
84825,Lupeni,13.014721570300832
99101,Siretel,13.010728144259302
83785,Atid,13.008130081300813
118058,Lunca Bradului,13.00578034682081
139170,Turt,13.00421432871764
120478,Chibed,12.987012987012987
97321,Gropnita,12.983180879315432
130026,Vladila,12.98076923076923
70897,Bistret,12.974976830398518
96254,Ciurea,12.974465148378192
63125,Valu Lui Traian,12.973780736313001
147161,Botosana,12.967200610221205
95159,Holboca,12.965202203412602
145471,Sadu,12.95133437990581
39417,Ungureni,12.948355410031255
12206,Seitin,12.940795858945325
115824,Bogata,12.933264355923436
156151,Brestovat,12.931034482758621
7099,Sasciori,12.930362984888612
114382,Sancraiu De Mures,12.925412071623384
36952,Cristinesti,12.921205979224728
144198,Biertan,12.919896640826874
144893,Marpod,12.917115177610334
176891,Naruja,12.906556530717605
164339,Iana,12.898686679174483
98916,Scanteia,12.896094325718497
116545,Deda,12.879484820607177
179686,Dumitrita,12.875536480686696
156035,Bogda,12.875536480686696
55838,Baciu,12.853708156093953
9495,Oras Curtici,12.849931161083065
140869,Cuzaplac,12.84296555750146
102838,Frasinet,12.84296555750146
39836,Vorniceni,12.840729894120297
179855,Gardani,12.830188679245284
55687,Apahida,12.828037226460971
33765,Mariselu,12.820512820512821
179463,Mogosoaia,12.820512820512821
63802,Batani,12.820512820512821
134336,Pacureti,12.814428096820123
49019,Robeasca,12.79707495429616
150356,Stulpicani,12.795275590551181
90725,Rachitova,12.781954887218046
136278,Batrani,12.778040700425935
146432,Scheia,12.776054024457018
59586,Sanpaul,12.758468983721952
140280,Bobota,12.756378189094548
158699,Sanmihaiu Roman,12.755817213344548
32768,Budesti,12.748597654258031
157317,Giulvaz,12.744793285669878
86453,Tomesti,12.743628185907047
111989,Grozesti,12.726382770435634
19999,Vladesti,12.721067328575861
33621,Maieru,12.700369913686806
162791,Bogdanita,12.698412698412698
9333,Livada,12.665515256188831
40704,Bunesti,12.653516933382955
73852,Radovan,12.648809523809524
52954,Goruia,12.642225031605562
139884,Oras Simleu Silvaniei,12.629161882893227
28665,Ciumeghiu,12.622415669205658
177263,Poiana Cristei,12.621709340064912
102419,Curcani,12.618873445501098
64826,Sanzieni,12.60953195127164
159464,Sandra,12.609117361784675
38376,Mitoc,12.598425196850394
120370,Zau De Campie,12.59748050389922
163486,Dragomiresti,12.594458438287154
117426,Hodac,12.594458438287154
29092,Diosig,12.593745578038773
103997,Joita,12.557077625570777
44560,Cazasu,12.547417566384594
17209,Micesti,12.543252595155709
34618,Sant,12.539184952978056
4703,Hoparta,12.531328320802006
40820,Cincu,12.518778167250876
32811,Caianu Mic,12.511584800741428
116171,Coroisanmartin,12.50822909809085
60945,Albesti,12.506652474720596
65113,Arcus,12.5
102160,Corbeanca,12.496236073471845
125016,Vanatori-Neamt,12.494268684089867
54305,Ticvaniu Mare,12.493753123438282
17101,Merisani,12.49192332543614
160225,Ciucurova,12.483281319661168
112548,Jiana,12.478485370051635
33202,Dumitra,12.470199889968825
85056,Meresti,12.463343108504398
64390,Haghig,12.462397937258272
