,u1,u2,u3,u4
49,-0.0820127738843084,-5.2868426620278204e-05,-3.7561645653278754e-05,8.242956017803587e-08
50,-0.142949317259477,-5.283693942345626e-05,-3.773439514212987e-05,8.307022475368713e-08
51,-0.15596015858788162,-5.2830216447368554e-05,-3.77712796791345e-05,8.320701599054284e-08
52,-0.1440457364725448,-5.2836372880526817e-05,-3.773750338963065e-05,8.308175210511348e-08
53,-0.13766214016535,-5.2839671419303016e-05,-3.7719406481962275e-05,8.30146373034938e-08
54,-0.1443868446721659,-5.2836196622741404e-05,-3.7738470399963715e-05,8.308533839222394e-08
55,-0.15678856421553286,-5.282978839278673e-05,-3.777362813279808e-05,8.321572554494737e-08
56,-0.10004277872142345,-5.2859110136582014e-05,-3.761275905661793e-05,8.261912106807135e-08
57,-0.13098616540133712,-5.284312103623916e-05,-3.7700480708293905e-05,8.294444854150442e-08
58,-0.13225313871421546,-5.284246636437621e-05,-3.7704072460963076e-05,8.295776903649523e-08
59,-0.11263941723600246,-5.285260118783947e-05,-3.764846936678918e-05,8.27515575277313e-08
60,-0.01359621498887722,-5.290377889879238e-05,-3.7367691009260605e-05,8.171025344936619e-08
61,-0.12901261081781507,-5.2844140813485246e-05,-3.7694885862793624e-05,8.292369930894822e-08
62,-0.10413607711687659,-5.285699504299641e-05,-3.762436318061932e-05,8.266215651337828e-08
63,-0.09643677775400043,-5.28609734333157e-05,-3.760253637595096e-05,8.258120889006866e-08
64,-0.1262106506066418,-5.284558864543597e-05,-3.768694256362522e-05,8.289424052198815e-08
65,-0.10959380831081413,-5.285417491820269e-05,-3.763983534595439e-05,8.271953710712033e-08
66,-0.10995928138183672,-5.285398607055029e-05,-3.764087142845494e-05,8.272337955758788e-08
67,-0.061984849592269776,-5.2878775471012184e-05,-3.750486833227452e-05,8.221899389207827e-08
68,-0.10686494271384535,-5.285558498060628e-05,-3.7632099263286875e-05,8.2690846810247e-08
69,-0.09901945412256016,-5.285963890999167e-05,-3.760985802561722e-05,8.260836220675083e-08
70,0.013205143552780272,-5.2917627725880575e-05,-3.729171162591876e-05,8.142847374796194e-08
71,-0.046440061638108425,-5.2886807790716866e-05,-3.7460800289936293e-05,8.205556166526314e-08
72,-0.13649262633807763,-5.284027573177877e-05,-3.771609101796156e-05,8.300234146197826e-08
73,-0.0935373580572211,-5.2862471624598116e-05,-3.7594316788117134e-05,8.255072544964518e-08
74,-0.1295973677314512,-5.284383865727388e-05,-3.769654359479433e-05,8.292984722972096e-08
75,-0.03659665359189966,-5.289189408720146e-05,-3.743289513460039e-05,8.195207166584266e-08
76,-0.13907530270663737,-5.2838941208428224e-05,-3.772341266762985e-05,8.302949477865563e-08
77,-0.11137244392312412,-5.285325585968938e-05,-3.7644877614121214e-05,8.273823703275648e-08
78,4.1950942114218055,-5.507849798270221e-05,-2.5436441226731267e-05,3.746161844791755e-08
79,-0.07955192187275621,-5.286969819438926e-05,-3.7554669364445016e-05,8.240368767818653e-08
80,-0.08535076126631483,-5.286670181179625e-05,-3.757110854011403e-05,8.246465455903225e-08
81,-0.10296656328960427,-5.285759935544565e-05,-3.7621047716619336e-05,8.264986067186302e-08
82,0.1463104360192121,-5.2986406037033454e-05,-3.6914370379381e-05,8.002905328545873e-08
83,0.03557209549936354,-5.2929185201557e-05,-3.7228303376912245e-05,8.119331577897174e-08
84,0.04236989462038397,-5.293269776767185e-05,-3.720903224241153e-05,8.112184620016429e-08
85,0.06344550838268738,-5.294358798168983e-05,-3.714928481823905e-05,8.09002648895159e-08
86,0.10766774997642227,-5.296643854635826e-05,-3.70239188357261e-05,8.043532838220218e-08
87,0.02497337643970808,-5.292370861993805e-05,-3.725834976941572e-05,8.130474684271192e-08
88,0.027994620493494948,-5.292526976042304e-05,-3.724978482074937e-05,8.127298258546493e-08
89,-0.012962728332438044,-5.290410623470856e-05,-3.736589513292696e-05,8.17035932018789e-08
90,-0.10603653708619412,-5.285601303524278e-05,-3.7629750809620356e-05,8.268213725584341e-08
91,-0.08639845073657962,-5.286616044854653e-05,-3.757407864328057e-05,8.247566958372097e-08
92,-0.13235059819982148,-5.28424160050298e-05,-3.77043487496286e-05,8.295879368995789e-08
93,-0.1441919257009538,-5.283629734143255e-05,-3.773791782263156e-05,8.30832890853005e-08
94,-0.09629058852559139,-5.286104897236834e-05,-3.760212194295092e-05,8.257967190987655e-08
95,-0.12396908243770315,-5.2846746910960715e-05,-3.7680587924292026e-05,8.287067349241812e-08
96,-0.12530915036478601,-5.28460544696053e-05,-3.768438689345872e-05,8.288476247748645e-08
97,-0.10803445654111767,-5.2854980668129695e-05,-3.763541472728812e-05,8.270314265176687e-08
98,-0.08725122123563236,-5.286571980406996e-05,-3.757649616911424e-05,8.248463530149447e-08
99,-0.14012299217690216,-5.283839984520584e-05,-3.7726382770796014e-05,8.304050980335669e-08
100,-0.0869832076502158,-5.2865858292335576e-05,-3.757573637528037e-05,8.248181750448138e-08
101,-0.14173107368940163,-5.283756891558523e-05,-3.7730941533796084e-05,8.305741658543423e-08
102,-0.10323457687502083,-5.2857460867180036e-05,-3.762180751045277e-05,8.265267846887442e-08
103,-0.13790578887936505,-5.283954552090481e-05,-3.772009720362905e-05,8.301719893714931e-08
104,-0.11444241771971396,-5.2851669539499966e-05,-3.7653580707122274e-05,8.277051361673905e-08
105,-0.10369750943164947,-5.2857221660168606e-05,-3.762311988161957e-05,8.265754557281167e-08
106,-0.09940929206498426,-5.2859437472499615e-05,-3.761096318028443e-05,8.26124608205861e-08
107,-0.14061028960493227,-5.283814804832617e-05,-3.772776421413043e-05,8.304563307065755e-08
108,-0.1336906661269044,-5.2841723563689105e-05,-3.7708147718794755e-05,8.297288267501848e-08
109,-0.13539620712500985,-5.284084227468129e-05,-3.771298277046243e-05,8.29908141105679e-08
110,-0.09341553370021358,-5.28625345738111e-05,-3.759397142728331e-05,8.254944463281913e-08
111,-0.07048818971139566,-5.2874381615889736e-05,-3.75289745184431e-05,8.230839490643237e-08
112,-0.10798572679831467,-5.2855005847837176e-05,-3.763527658295388e-05,8.270263032503602e-08
